FIRM_NAME,MODEL_NAME,MODEL_CATEGORY_RANK,SUB_MODEL_NAME,ALLOCATION_CATEGORY,STRATEGY_NAME,PRODUCT_TYPE,TICKER,ALLOCATION_PCT,MODEL_LAUNCH_DATE,AS_OF_DATE,UPDATE_FREQUENCY,FTMAS_FIRM_MANAGED,LOAD_DATE_TIME,PARENT_DEALER_CODE,PLATFORM_TYPE,PLATFORM_DEF
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,US Equity,iShares S&P 500 Value,ETF,IVE,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,US Fixed Income,iShares Short-Term Corporate Bond ETF,ETF,IGSB,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,Global Fixed Income,iShares JPMorgan USD Emerg Markets Bond,ETF,EMB,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,EQUITY,Templeton Developing Markets Trust,Mutual Fund,TDADX,0.08, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,FIXED INCOME,Franklin Liberty U.S. Core Bond ETF,ETF,FLCB,0.08, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,EQUITY,Franklin FTSE Japan ETF,ETF,FLJP,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,FTIF Franklin U.S. Government Securities Fund (W MDis),SA,FUSWMDU,0.26, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,PIMCO Income Fund (I MDis),SA,PIGSIRI,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Cash,Cash,Cash,NA,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,FIXED INCOME,PIMCO Income Fund I-2,Mutual Fund,PONPX,0.15, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,FIXED INCOME,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Equity,Vanguard S&P 500 ETF,ETF,VOO,0.11, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,iShares 7-10 Year Treasury Bond,ETF,IEF,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model, ,Cash,Cash,,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,PIMCO Income Fund I-2,Mutual Fund,PONPX,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,ALTERNATIVES,Franklin K2 Alternative Strategies Fund Advisor,Mutual Fund,FABZX,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,Cash,Cash,Cash,,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Equity,iShares S&P 500 Value,ETF,IVE,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,5,Growth Index Model,Emerging Equity,iShares Core MSCI Emerging Markets,ETF,IEMG,0.08, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,5,Growth Index Model,US Fixed Income,iShares iBoxx High Yield Corporate Bd,ETF,HYG,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIZENS,Franklin Income Model Portfolio,1,Income,U.S. Equity,Franklin Rising Dividends Fund,Mutual Fund,FRDAX,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Income Model Portfolio,1,Income,Non-U.S. Fixed Income,Templeton Global Total Return Fund,Mutual Fund,TTRZX,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Conservative Growth Model Portfolio,2,Conservative Growth,U.S. Equity,Franklin Rising Dividends Fund,Mutual Fund,FRDAX,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Conservative Growth Model Portfolio,2,Conservative Growth,U.S. Fixed Income,Franklin Low Duration Total Return Fund,Mutual Fund,FLDZX,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Model Portfolio,3,Moderate,U.S. Equity,Franklin LibertyQ U.S. Equity ETF,ETF,FLQL,0.17, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Model Portfolio,3,Moderate,Non-U.S. Equity,Franklin International Growth Fund,Mutual Fund,FNGZX,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Model Portfolio,3,Moderate,U.S. Fixed Income,Franklin U.S. Government Securities Fund,Mutual Fund,FUSAX,0.12, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Growth Model Portfolio,4,Moderate Growth,U.S. Equity,Franklin Rising Dividends Fund,Mutual Fund,FRDAX,0.15, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Growth Model Portfolio,4,Moderate Growth,U.S. Fixed Income,Franklin Low Duration Total Return Fund,Mutual Fund,FLDZX,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
CITIZENS,Franklin Moderate Growth Model Portfolio,4,Moderate Growth,Non-U.S. Fixed Income,Templeton Global Total Return Fund,Mutual Fund,TTRZX,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16,7201, , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,1,Capital Preservation,Large Cap Growth,Franklin Growth Adv,Mutual Fund,FCGAX,0.07, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,1,Capital Preservation,International Bond,Templeton Global Bond Adv,Mutual Fund,TGBAX,0.15, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,2,Conservative,Large Cap Growth,Franklin Growth Adv,Mutual Fund,FCGAX,0.1, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,2,Conservative,High Yield,Franklin High Income Adv,Mutual Fund,FVHIX,0.04, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,3,Conservative Growth,Large Cap Value,Fidelity Small Cap Index Premium,Mutual Fund,FSSVX,0.04, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,3,Conservative Growth,Intermediate Bond,Vanguard Total Bond Market Index Adm,Mutual Fund,VBTLX,0.29, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,3,Conservative Growth,Short Bond,Vanguard Short-Term Bond Index Adm,Mutual Fund,VBISX,0.04, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,4,Moderate,International developed Markets,Templeton Foreign Adv,Mutual Fund,TFFAX,0.08, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,4,Moderate,Commodities,Credit Suisse Commodity Return Strat I,Mutual Fund,CRSOX,0.03, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,4,Moderate,International Bond,Templeton Global Bond Adv,Mutual Fund,TGBAX,0.07, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,4,Moderate,Cash,Cash,Cash,,0.02, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,EQUITY,Columbia European Equity Z,Mutual Fund,CADJX,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
ENVESTNET,Franklin Templeton PMC ActivePassive Portfolios,5,Moderate Growth,Small Cap Core,Fidelity Small Cap Index Premium,Mutual Fund,FSSVX,0.07, ,2.02E+16,Quarterly,Firm Managed,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,FIXED INCOME,Prudential Core Bond Fund R6,Mutual Fund,TPCQX,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,FIXED INCOME,IShares US Treasury Bond ETF,ETF,GOVT,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,5,Growth Index Model,US Equity,iShares S&P 500 Growth,ETF,IVW,0.17, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Equity Funds,Henderson Horizon Asian Dividend Fund F (Q Dis),SA,HHADF3U,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Multi-Asset Funds,FTIF Franklin Global Multi-Asset Income Fund (W MDis USD-H1),SA,FMAIWMU,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,FIXED INCOME,Franklin Liberty U.S. Core Bond ETF,Mutual Fund,FLDZX,0.17, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,EQUITY,Mainstay Epoch Global Equity Yield Fund I,Mutual Fund,EPSYX,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Equity,iShares US Preferred Stock,ETF,PFF,0.16, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,Schwab Short-Term US Treasury ETF,ETF,SCHO,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,REIT,Vanguard REIT ETF,ETF,VNQ,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,EQUITY,iShares Core S&P 500 Value ETF,ETF,IVE,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,EQUITY,Vanguard S&P 500 ETF,ETF,VOO,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Fixed Income,Schwab Short-Term US Treasury ETF,ETF,SCHO,0.24, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,Global Fixed Income,iShares JPMorgan USD Emerg Markets Bond,ETF,EMB,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,International Equity,iShares Core MSCI EAFE,ETF,IEFA,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,FIXED INCOME,iShares Core U.S. Aggregate Bond ETF,ETF,AGG,0.19, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,FIXED INCOME,Delaware Corporate Bond Fund I,Mutual Fund,DGCIX,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,EQUITY,Franklin FTSE Europe ETF,ETF,FLEE,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,Cash,Cash,Cash,,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,EQUITY,Franklin Income Fund Advisor,Mutual Fund,FRIAX,0.19, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,EQUITY,iShares Core S&P 500 Value ETF,ETF,IVE,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,iShares Core U.S. Aggregate Bond ETF,ETF,AGG,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,iShares iBoxx High Yield Corporate Bd,ETF,HYG,0.14, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,Franklin U.S. Government Securities Fund Advisor,Mutual Fund,FUSAX,0.15, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,EQUITY,Franklin Growth Fund Advisor,Mutual Fund,FCGAX,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Equity,Vanguard S&P 500 ETF,ETF,VOO,0.17, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Fixed Income,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,EQUITY,Columbia European Equity Z,Mutual Fund,CADJX,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,EQUITY,Pioneer Fundamental Growth Fund Y,Mutual Fund,FUNYX,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,US Fixed Income,iShares Short-Term Corporate Bond ETF,ETF,IGSB,0.12, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model, ,Cash,Cash,,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,iShares Core Global Aggregate Bond UCITS ETF,SA,AGGG LN,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,FIXED INCOME,Franklin U.S. Government Securities Fund Advisor,Mutual Fund,FUSAX,0.17, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,FIXED INCOME,Templeton Global Total Return Fund Advisor,Mutual Fund,TTRZX,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,European Equity,Franklin FTSE Europe ETF,ETF,FLEE,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.15, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,Franklin Liberty U.S. Core Bond ETF,ETF,FLCB,0.15, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,Schwab Short-Term U.S. Treasury ETF,ETF,SCHO,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,ALTERNATIVES,iShares Global Infrastructure ETF,ETF,IGF,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Fixed Income,iShares Short-Term Corporate Bond ETF,ETF,IGSB,0.22, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,Infrastructure,iShares Global Infrastructure ETF,ETF,IGF,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model, ,Cash,Cash,,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,EQUITY,Templeton Developing Markets Trust,Mutual Fund,TDADX,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,FIXED INCOME,Templeton Global Total Return Fund Advisor,Mutual Fund,TTRZX,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,Cash,Cash,Cash,,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,Japanese Equity,Franklin FTSE Japan ETF,ETF,FLJP,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,US Fixed Income,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,5,Growth Hybrid,EQUITY,Vanguard S&P 500 ETF,ETF,VOO,0.24, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
